[D 21:19:28.411 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 16B VersionRequest(priority=1, version=13)
[D 21:19:28.411 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='SUPPORT:DR_PTN:XAXIS_MON', cid=5159, version=13, reply=5)
[D 21:19:28.412 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:MON:MMON_BPM_BUNCH_A', cid=5160, version=13, reply=5)
[D 21:19:28.412 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 40B SearchRequest(name='RFAC:DFB:MON:MMON_CAV_A', cid=5161, version=13, reply=5)
[D 21:19:28.412 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='SUPPORT:DR_PTN:REFERENCE_PTN_A', cid=5162, version=13, reply=5)
[D 21:19:28.412 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:MON:MMON_BPM_FB_DP_A', cid=5163, version=13, reply=5)
[D 21:19:28.412 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:MON:MMON_BPM_FB_DR_A', cid=5164, version=13, reply=5)
[D 21:19:28.412 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:MON:MMON_BPM_FB_2FS_A', cid=5165, version=13, reply=5)
[D 21:19:28.413 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 40B SearchRequest(name='SUPPORT:DR_PTN:EXT', cid=5168, version=13, reply=5)
[D 21:19:28.413 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='SUPPORT:DR_PTN:GEN_REFERENCE', cid=5166, version=13, reply=5)
[D 21:19:28.413 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 56B SearchRequest(name='SUPPORT:BPMFB:RB:BPM_P_GAIN_DP_FLOAT', cid=5174, version=13, reply=5)
[D 21:19:28.413 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:SET:BPM_GAIN_2FS_CNST', cid=5175, version=13, reply=5)
[D 21:19:28.413 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:SET:PERIOD_UPDATE', cid=5167, version=13, reply=5)
[D 21:19:28.414 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 64B SearchRequest(name='SUPPORT:BPMFB:SET:BPM_I_GAIN_DR_FLOAT_CHANGE', cid=5176, version=13, reply=5)
[D 21:19:28.414 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:SET:BPM_I_GAIN_DR_CNST', cid=5177, version=13, reply=5)
[D 21:19:28.414 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='SUPPORT:DR_PTN:TIMMING_RISE', cid=5169, version=13, reply=5)
[D 21:19:28.414 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 40B SearchRequest(name='RFAC:DFB:SET:BPM_FB_ON', cid=5178, version=13, reply=5)
[D 21:19:28.414 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 56B SearchRequest(name='SUPPORT:BPMFB:SET:BPM_P_GAIN_DR_FLOAT', cid=5179, version=13, reply=5)
[D 21:19:28.415 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:SET:BPM_PERIOD_IACC_DR', cid=5180, version=13, reply=5)
[D 21:19:28.415 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 64B SearchRequest(name='SUPPORT:BPMFB:SET:BPM_GAIN_2FS_FLOAT_CHANGE', cid=5181, version=13, reply=5)
[D 21:19:28.415 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 40B SearchRequest(name='SUPPORT:DR_PTN:FB', cid=5170, version=13, reply=5)
[D 21:19:28.415 _broadcaster:   94] (1 of 11) VersionResponse(version=13)
[D 21:19:28.416 _broadcaster:   92] (2 of 11) SearchResponse(port=5064, ip='255.255.255.255', cid=5159, version=13)
[D 21:19:28.416 _broadcaster:   92] (3 of 11) SearchResponse(port=5064, ip='255.255.255.255', cid=5162, version=13)
[D 21:19:28.416 _broadcaster:   92] (4 of 11) SearchResponse(port=5064, ip='255.255.255.255', cid=5168, version=13)
[D 21:19:28.416 _broadcaster:   92] (5 of 11) SearchResponse(port=5064, ip='255.255.255.255', cid=5166, version=13)
[D 21:19:28.416 _broadcaster:   92] (6 of 11) SearchResponse(port=5064, ip='255.255.255.255', cid=5174, version=13)
[D 21:19:28.417 _broadcaster:   92] (7 of 11) SearchResponse(port=5064, ip='255.255.255.255', cid=5176, version=13)
[D 21:19:28.417 _broadcaster:   92] (8 of 11) SearchResponse(port=5064, ip='255.255.255.255', cid=5169, version=13)
[D 21:19:28.417 _broadcaster:   92] (9 of 11) SearchResponse(port=5064, ip='255.255.255.255', cid=5179, version=13)
[D 21:19:28.417 _broadcaster:   92] (10 of 11) SearchResponse(port=5064, ip='255.255.255.255', cid=5181, version=13)
[D 21:19:28.417 _broadcaster:   92] (11 of 11) SearchResponse(port=5064, ip='255.255.255.255', cid=5170, version=13)
[D 21:19:28.418 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 16B VersionRequest(priority=1, version=13)
[D 21:19:28.418 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='SUPPORT:DR_PTN:WAVE_SPAN', cid=5171, version=13, reply=5)
[D 21:19:28.418 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='SUPPORT:DR_PTN:WAVE_DELAY', cid=5172, version=13, reply=5)
[D 21:19:28.419 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 64B SearchRequest(name='SUPPORT:BPMFB:SET:BPM_P_GAIN_DR_FLOAT_CHANGE', cid=5173, version=13, reply=5)
[D 21:19:28.419 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 56B SearchRequest(name='SUPPORT:BPMFB:RB:BPM_I_GAIN_DR_FLOAT', cid=5182, version=13, reply=5)
[D 21:19:28.419 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:SET:BPM_FB_START_B', cid=5191, version=13, reply=5)
[D 21:19:28.419 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:SET:BPM_FB_END_A', cid=5190, version=13, reply=5)
[D 21:19:28.419 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:SET:BPM_P_SHIFT_DP', cid=5183, version=13, reply=5)
[D 21:19:28.419 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 56B SearchRequest(name='SUPPORT:BPMFB:RB:BPM_GAIN_2FS_FLOAT', cid=5184, version=13, reply=5)
[D 21:19:28.419 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 56B SearchRequest(name='SUPPORT:BPMFB:SET:BPM_P_GAIN_DP_FLOAT', cid=5185, version=13, reply=5)
[D 21:19:28.420 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:SET:BPM_FB_END_B', cid=5186, version=13, reply=5)
[D 21:19:28.420 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 64B SearchRequest(name='SUPPORT:BPMFB:SET:BPM_P_GAIN_DP_FLOAT_CHANGE', cid=5187, version=13, reply=5)
[D 21:19:28.420 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:SET:BPM_FB_START_A', cid=5188, version=13, reply=5)
[D 21:19:28.420 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:SET:BPM_P_GAIN_DP_CNST', cid=5189, version=13, reply=5)
[D 21:19:28.420 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:SET:BPM_I_SHIFT_DR', cid=5192, version=13, reply=5)
[D 21:19:28.420 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:SET:BPM_P_SHIFT_DR', cid=5193, version=13, reply=5)
[D 21:19:28.420 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:SET:BPM_P_GAIN_DR_CNST', cid=5194, version=13, reply=5)
[D 21:19:28.421 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 56B SearchRequest(name='SUPPORT:BPMFB:SET:BPM_I_GAIN_DR_FLOAT', cid=5195, version=13, reply=5)
[D 21:19:28.421 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 48B SearchRequest(name='RFAC:DFB:SET:BPM_GN_SHIFT_2FS', cid=5196, version=13, reply=5)
[D 21:19:28.421 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 56B SearchRequest(name='SUPPORT:BPMFB:SET:BPM_GAIN_2FS_FLOAT', cid=5197, version=13, reply=5)
[D 21:19:28.421 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 16B VersionRequest(priority=1, version=13)
[D 21:19:28.421 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 56B SearchRequest(name='SUPPORT:BPMFB:RB:BPM_P_GAIN_DR_FLOAT', cid=5198, version=13, reply=5)
[D 21:19:28.421 _broadcaster:  136] 219.30.54.37:5064 <<<--- 219.30.54.37:59311 40B SearchRequest(name='RFAC:DFB:MON:MMON_VALID', cid=5199, version=13, reply=5)
[D 21:19:28.422 _broadcaster:   94] (1 of 10) VersionResponse(version=13)
[D 21:19:28.422 _broadcaster:   92] (2 of 10) SearchResponse(port=5064, ip='255.255.255.255', cid=5171, version=13)
[D 21:19:28.422 _broadcaster:   92] (3 of 10) SearchResponse(port=5064, ip='255.255.255.255', cid=5172, version=13)
[D 21:19:28.422 _broadcaster:   92] (4 of 10) SearchResponse(port=5064, ip='255.255.255.255', cid=5173, version=13)
[D 21:19:28.422 _broadcaster:   92] (5 of 10) SearchResponse(port=5064, ip='255.255.255.255', cid=5182, version=13)
[D 21:19:28.422 _broadcaster:   92] (6 of 10) SearchResponse(port=5064, ip='255.255.255.255', cid=5184, version=13)
[D 21:19:28.422 _broadcaster:   92] (7 of 10) SearchResponse(port=5064, ip='255.255.255.255', cid=5185, version=13)
[D 21:19:28.423 _broadcaster:   92] (8 of 10) SearchResponse(port=5064, ip='255.255.255.255', cid=5187, version=13)
[D 21:19:28.423 _broadcaster:   92] (9 of 10) SearchResponse(port=5064, ip='255.255.255.255', cid=5195, version=13)
[D 21:19:28.423 _broadcaster:   92] (10 of 10) SearchResponse(port=5064, ip='255.255.255.255', cid=5197, version=13)
[D 21:19:28.423 _broadcaster:   94] (1 of 2) VersionResponse(version=13)
[D 21:19:28.423 _broadcaster:   92] (2 of 2) SearchResponse(port=5064, ip='255.255.255.255', cid=5198, version=13)
[I 21:19:28.424       common: 1089] Connected to new client at 219.30.54.37:56123 (total: 1).
[D 21:19:28.424       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 16B VersionRequest(priority=1, version=13)
[D 21:19:28.424     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B VersionResponse(version=13)
[D 21:19:28.425       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 24B ClientNameRequest(name='FPGA')
[D 21:19:28.425       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 24B HostNameRequest(name='RFDFB')
[D 21:19:28.425       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 48B CreateChanRequest(name='SUPPORT:DR_PTN:XAXIS_MON', cid=5159, version=13)
[D 21:19:28.425     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5159, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.425     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=40960, cid=5159, sid=0)
[D 21:19:28.426       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 48B CreateChanRequest(name='SUPPORT:DR_PTN:REFERENCE_PTN_A', cid=5162, version=13)
[D 21:19:28.426     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5162, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.426     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=40960, cid=5162, sid=1)
[D 21:19:28.426       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 40B CreateChanRequest(name='SUPPORT:DR_PTN:EXT', cid=5168, version=13)
[D 21:19:28.427     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5168, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.427     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=1, cid=5168, sid=2)
[D 21:19:28.427       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 48B CreateChanRequest(name='SUPPORT:DR_PTN:GEN_REFERENCE', cid=5166, version=13)
[D 21:19:28.427     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5166, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.427     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.INT: 1>, data_count=1, cid=5166, sid=3)
[D 21:19:28.427       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 56B CreateChanRequest(name='SUPPORT:BPMFB:RB:BPM_P_GAIN_DP_FLOAT', cid=5174, version=13)
[D 21:19:28.428     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5174, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.428     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=1, cid=5174, sid=4)
[D 21:19:28.428       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 64B CreateChanRequest(name='SUPPORT:BPMFB:SET:BPM_I_GAIN_DR_FLOAT_CHANGE', cid=5176, version=13)
[D 21:19:28.428     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5176, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.428     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=1, cid=5176, sid=5)
[D 21:19:28.429       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 48B CreateChanRequest(name='SUPPORT:DR_PTN:TIMMING_RISE', cid=5169, version=13)
[D 21:19:28.429     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5169, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.429     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=1, cid=5169, sid=6)
[D 21:19:28.429       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 56B CreateChanRequest(name='SUPPORT:BPMFB:SET:BPM_P_GAIN_DR_FLOAT', cid=5179, version=13)
[D 21:19:28.429     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5179, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.430     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=1, cid=5179, sid=7)
[D 21:19:28.430       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 64B CreateChanRequest(name='SUPPORT:BPMFB:SET:BPM_GAIN_2FS_FLOAT_CHANGE', cid=5181, version=13)
[D 21:19:28.430     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5181, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.430     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=1, cid=5181, sid=8)
[D 21:19:28.430       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 40B CreateChanRequest(name='SUPPORT:DR_PTN:FB', cid=5170, version=13)
[D 21:19:28.430     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5170, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.431     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=1, cid=5170, sid=9)
[D 21:19:28.431       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 48B CreateChanRequest(name='SUPPORT:DR_PTN:WAVE_SPAN', cid=5171, version=13)
[D 21:19:28.431     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5171, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.431     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=1, cid=5171, sid=10)
[D 21:19:28.431       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 48B CreateChanRequest(name='SUPPORT:DR_PTN:WAVE_DELAY', cid=5172, version=13)
[D 21:19:28.431     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5172, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.432     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=1, cid=5172, sid=11)
[D 21:19:28.432       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 64B CreateChanRequest(name='SUPPORT:BPMFB:SET:BPM_P_GAIN_DR_FLOAT_CHANGE', cid=5173, version=13)
[D 21:19:28.432     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5173, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.432     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=1, cid=5173, sid=12)
[D 21:19:28.432       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 56B CreateChanRequest(name='SUPPORT:BPMFB:RB:BPM_I_GAIN_DR_FLOAT', cid=5182, version=13)
[D 21:19:28.432     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5182, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.433     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=1, cid=5182, sid=13)
[D 21:19:28.433       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 56B CreateChanRequest(name='SUPPORT:BPMFB:RB:BPM_GAIN_2FS_FLOAT', cid=5184, version=13)
[D 21:19:28.433     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5184, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.433     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=1, cid=5184, sid=14)
[D 21:19:28.433       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 56B CreateChanRequest(name='SUPPORT:BPMFB:SET:BPM_P_GAIN_DP_FLOAT', cid=5185, version=13)
[D 21:19:28.434     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5185, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.434     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=1, cid=5185, sid=15)
[D 21:19:28.434       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 64B CreateChanRequest(name='SUPPORT:BPMFB:SET:BPM_P_GAIN_DP_FLOAT_CHANGE', cid=5187, version=13)
[D 21:19:28.434     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5187, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.434     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=1, cid=5187, sid=16)
[D 21:19:28.435       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 56B CreateChanRequest(name='SUPPORT:BPMFB:SET:BPM_I_GAIN_DR_FLOAT', cid=5195, version=13)
[D 21:19:28.435     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5195, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.435     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=1, cid=5195, sid=17)
[D 21:19:28.435       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 56B CreateChanRequest(name='SUPPORT:BPMFB:SET:BPM_GAIN_2FS_FLOAT', cid=5197, version=13)
[D 21:19:28.435     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5197, access_rights=<AccessRights.WRITE|READ: 3>)
[D 21:19:28.436     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B CreateChanResponse(data_type=<ChannelType.DOUBLE: 6>, data_count=1, cid=5197, sid=18)
[D 21:19:28.436       common:  684] 219.30.54.37:5064 <<<--- 219.30.54.37:56123 56B CreateChanRequest(name='SUPPORT:BPMFB:RB:BPM_P_GAIN_DR_FLOAT', cid=5198, version=13)
[D 21:19:28.436     _circuit:  166] 219.30.54.37:5064 --->>> 219.30.54.37:56123 16B AccessRightsResponse(cid=5198, access_rights=<AccessRights.WRITE|READ: 3>)
